Symbol,Exchange 1,Exchange 2,Price 1,Price 2,Average Price,Spread (%),Exchange 1 Maker Fee,Exchange 1 Taker Fee,Exchange 2 Maker Fee,Exchange 2 Taker Fee,Exchange 1 Liquidity (24h Vol),Exchange 2 Liquidity (24h Vol),Potential Profit ($),Exchange 1 slipage,Exchange 2 slipage,Slipage
IDEX/USDT:USDT,binance,bybit,0.0561,0.03057,0.043335,58.91311872620283,0.001,0.001,0.001,0.001,2205402.76518,685378.5197,8.323,4.534319153800382e-06,1.4590477688704257e-05,9.56239842125232e-06
SLP/USDT:USDT,binance,bybit,0.003515,0.001924,0.0027194999999999,58.503401360544224,0.001,0.001,0.001,0.001,4000750.142606,755864.0413,8.241,2.4995312487788157e-06,1.3229892485427855e-05,7.864711867103335e-06
ORBS/USDT:USDT,binance,bybit,0.035157,0.0206,0.0278785,52.21586527252183,0.001,0.001,0.001,0.001,4744389.826334,532640.4569,7.0394,2.107752601713806e-06,1.8774390624025466e-05,1.0441071612869637e-05
XEM/USDT:USDT,binance,bybit,0.0338,0.01986,0.02683,51.95676481550502,0.001,0.001,0.001,0.001,9727490.2775,5921261.9578,6.9921,1.0280143916597196e-06,1.6888291839254186e-06,1.358421787792569e-06
STPT/USDT:USDT,binance,bybit,0.05306,0.07457,0.063815,33.70680874402569,0.001,0.001,0.001,0.001,3140300.77239,9648328.2383,4.0298,3.184408349646478e-06,1.0364489840119664e-06,2.110428666829222e-06
SNT/USDT:USDT,binance,bybit,0.03666,0.02644,0.03155,32.393026941362905,0.001,0.001,0.001,0.001,34068511.74593,1144675.487,3.8415,2.9352617673986455e-07,8.736100417602462e-06,4.514813297171163e-06
OMG/USDT:USDT,binance,bybit,0.291,0.2387,0.26485,19.74702661884085,0.001,0.001,0.001,0.001,10920359.6502,5197800.6799,2.1688,9.157207564878009e-07,1.923890625254293e-06,1.4198056908710468e-06
WAVES/USDT:USDT,binance,bybit,1.3355,1.4595,1.3975,8.872987477638649,0.001,0.001,0.001,0.001,72794064.7423,19991978.8284,0.9076,1.3737383721325684e-07,5.002006097462599e-07,3.187872234797584e-07
CVX/USDT:USDT,binance,bybit,2.374,2.344,2.359,1.2717253073336263,0.001,0.001,0.001,0.001,3552591.183,4642957.3587,0.1079,2.8148468216248452e-06,2.153799664186436e-06,2.4843232429056403e-06
JST/USDT,binance,bybit,0.03228,0.03264,0.03246,1.1090573012938978,0.001,0.001,0.001,0.001,853050.082709,517.4724066,0.0914,1.172264114698092e-05,0.019324701901892675,0.009668212271519828
